,ao_hechos,delito,categoria_delito,longitud,latitud
1063323,2021,VIOLACION,VIOLACIÓN,-99.13173788961771,19.4239188513292
1063645,2021,VIOLACION,VIOLACIÓN,-99.1313525999024,19.439985095862998
1063656,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.13496016961679,19.4145206607894
1064230,2021,VIOLACION,VIOLACIÓN,-99.06723578960501,19.342323945319
1064619,2021,VIOLACION,VIOLACIÓN,-99.22239839993749,19.3108909002749
1064710,2021,VIOLACION,VIOLACIÓN,-99.10524595042851,19.3148766764575
1064972,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1096293896483,19.4907318273772
1065060,2021,VIOLACION,VIOLACIÓN,-99.1301643800424,19.4658718429659
1065119,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2015529396278,19.2775237033578
1065330,2021,VIOLACION,VIOLACIÓN,-99.19265829042419,19.269713488931
1065409,2021,VIOLACION,VIOLACIÓN,-99.06777620017469,19.3093247807368
1065464,2021,VIOLACION,VIOLACIÓN,-98.9998506000398,19.273090433370896
1065778,2021,VIOLACION,VIOLACIÓN,-99.14964151029551,19.476272550975303
1066008,2021,VIOLACION,VIOLACIÓN,-99.02218401044192,19.2937690333003
1066247,2021,VIOLACION,VIOLACIÓN,-99.2041978199367,19.221070498689603
1066465,2021,VIOLACION,VIOLACIÓN,-99.0477488898702,19.3668210529026
1066552,2021,VIOLACION TUMULTUARIA,VIOLACIÓN,-99.18946650982241,19.398432451978
1066679,2021,VIOLACION,VIOLACIÓN,-99.2439452603852,19.3225244008056
1066695,2021,VIOLACION,VIOLACIÓN,-99.0233785898418,19.3292168926015
1066954,2021,VIOLACION,VIOLACIÓN,-99.2721267800622,19.3271594490508
1067005,2021,VIOLACION,VIOLACIÓN,-99.17832487968809,19.2321940435019
1067270,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.03763085985409,19.3737596499923
1067535,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1364843399447,19.420868997636102
1067722,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1124671695668,19.418235652228102
1067882,2021,VIOLACION,VIOLACIÓN,-99.13609161983429,19.4541751083398
1067993,2021,VIOLACION,VIOLACIÓN,-99.2446915802103,19.377467812503
1067996,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1119790104253,19.422548958215998
1068339,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0725233595296,19.3569332663498
1068355,2021,VIOLACION,VIOLACIÓN,-99.1332434297016,19.4249281715383
1068357,2021,VIOLACION,VIOLACIÓN,-99.20071915010142,19.2246794614543
1068409,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-98.9714546999712,19.212003449538397
1068576,2021,VIOLACION,VIOLACIÓN,-99.0705424503119,19.3739486718403
1069154,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.25932324967769,19.310239259347803
1069310,2021,VIOLACION,VIOLACIÓN,-99.23357963997209,19.273701328592104
1069389,2021,VIOLACION,VIOLACIÓN,-99.18093770984221,19.269741587185
1069813,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.0733645900942,19.492477792439498
1069829,2021,VIOLACION,VIOLACIÓN,-99.0023973602905,19.3583264528272
1069901,2021,VIOLACION,VIOLACIÓN,-99.1206163204742,19.2472678710662
1070478,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.19333041033951,19.3950838586809
1070583,2021,VIOLACION,VIOLACIÓN,-98.99876242033122,19.336070169142
1070944,2021,VIOLACION EQUIPARADA POR CONOCIDO,VIOLACIÓN,-99.1698449499064,19.3176233835898
1071116,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.0742016698739,19.2558093635022
1071162,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-98.99506516972609,19.287287081680102
1071400,2021,VIOLACION,VIOLACIÓN,-99.2054166599107,19.3398869758653
1071643,2021,VIOLACION,VIOLACIÓN,-99.0836061499899,19.395145846744498
1071777,2021,VIOLACION,VIOLACIÓN,-98.9664745301848,19.222364528453102
1072025,2021,VIOLACION,VIOLACIÓN,-99.2101111999006,19.216346973318398
1072061,2021,VIOLACION,VIOLACIÓN,-99.15075794010201,19.436857599701398
1072087,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.02520417969481,19.2460166210878
1072276,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1620956396075,19.4218072941674
1072377,2021,VIOLACION,VIOLACIÓN,-99.1125257304442,19.4308224593489
1072510,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.2478774396556,19.317033391979898
1073165,2021,VIOLACION,VIOLACIÓN,-99.05908853035591,19.3435750974589
1073264,2021,VIOLACION,VIOLACIÓN,-99.12162154992059,19.466985638551897
1073471,2021,VIOLACION,VIOLACIÓN,-99.0858632301267,19.4414538601592
1073518,2021,VIOLACION,VIOLACIÓN,-99.1327554000152,19.4048976088157
1073539,2021,VIOLACION,VIOLACIÓN,-99.1747266102284,19.303192690260698
1073573,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.07057642952671,19.255427909280897
1073953,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.09672259987872,19.4975744860565
1073980,2021,VIOLACION EQUIPARADA,VIOLACIÓN,-99.1553020504135,19.3958952263377
1074114,2021,VIOLACION,VIOLACIÓN,-99.05954719036859,19.336551229999
1074202,2021,VIOLACION,VIOLACIÓN,-99.2688238597016,19.372718916061498
1074271,2021,VIOLACION,VIOLACIÓN,-99.14259911026569,19.4373990439097
1074302,2021,VIOLACION,VIOLACIÓN,-99.01003963980992,19.2488498826798
1074309,2021,VIOLACION,VIOLACIÓN,-99.14801717017771,19.410385996641
